Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,duration,mse_list
2023-04-23 14:00:05,57ms,241fa934775c48d5882000ac5eaa2d20,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,32_64_128_,1e-05,4,True,lidar,61.91121697425842,72.75560165405274
2023-04-23 13:55:18,47ms,422e57404f8f4068aeed7ff5daf7645f,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,32_64_128_,1e-05,4,True,lidar,71.39466381072998,73.74332507451375
2023-04-23 15:20:55,57ms,317e12be8e264d6e81d1fd19eb4b42bf,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,128_64_32_,1e-05,4,True,lidar,63.07773041725159,76.54803573608399
2023-04-23 14:55:11,58ms,f6b482fd40234bb1a4f6e21ca4202298,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,512_512_512_512_,1e-05,5,False,lidar,104.09040880203247,136.52234685262044
2023-04-23 14:37:39,55ms,8cc834c59bcf4f80a1d61c6053f03ed0,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,128_256_512_1024_,1e-05,5,False,lidar,103.09207558631897,138.17826939900715
2023-04-23 15:42:31,56ms,01acfa2275454871a78b0a4aa38bc1a8,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,512_256_32_,1e-05,4,False,lidar,90.37440919876099,138.8097246805827
2023-04-23 15:12:21,53ms,93771593200748d69ee2f48714a0e079,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,128_64_32_,1e-05,4,False,lidar,90.09897565841675,140.2436279296875
2023-04-23 15:01:14,55ms,bf35e9cff47a4a3fb9e8613a4ffd5e4d,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,True,500,512_512_512_512_,1e-05,5,False,lidar,92.74157118797302,140.69338162740073
2023-04-23 15:27:23,54ms,b3da84507e9b40ceb898efeceacb3356,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,256_128_32_,1e-05,4,False,lidar,90.71693801879883,140.76122772216797
2023-04-23 14:06:40,52ms,da91cc4b7ba344b1b1ad9d754083748e,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,64_128_256_,1e-05,4,False,lidar,91.71704411506653,140.7994817606608
